Fold/Statistics,Best_Epoch,AUC,AUPR,Accuracy,Precision,Recall,F1-score,MCC,Recall@10,Recall@20,Recall@50
Fold 1,658.0000,0.9692,0.9758,0.9093,0.9593,0.8549,0.9041,0.8235,0.9135,0.9380,0.9968
Fold 2,681.0000,0.9777,0.9831,0.9301,0.9611,0.8964,0.9276,0.8621,0.9395,0.9700,0.9946
Fold 3,573.0000,0.9622,0.9696,0.8756,0.9739,0.7720,0.8613,0.7680,0.8874,0.9508,0.9811
Fold 4,937.0000,0.9726,0.9679,0.9249,0.9881,0.8601,0.9197,0.8570,0.9157,0.9583,0.9949
Fold 5,715.0000,0.9789,0.9820,0.9119,0.9760,0.8446,0.9056,0.8314,0.9451,0.9747,0.9958
Fold 6,611.0000,0.9781,0.9836,0.9378,0.9669,0.9067,0.9358,0.8773,0.9271,0.9790,0.9965
Fold 7,858.0000,0.9787,0.9834,0.9326,0.9827,0.8808,0.9290,0.8700,0.9448,0.9777,0.9958
Fold 8,924.0000,0.9704,0.9767,0.9249,0.9824,0.8653,0.9201,0.8558,0.9183,0.9490,1.0000
Fold 9,779.0000,0.9677,0.9757,0.9041,0.9643,0.8394,0.8975,0.8152,0.9094,0.9622,0.9900
Fold 10,775.0000,0.9851,0.9880,0.9482,0.9832,0.9119,0.9462,0.8987,0.9451,0.9658,0.9979
Mean,751.1000,0.9741,0.9786,0.9199,0.9738,0.8632,0.9203,0.8459,0.9246,0.9626,0.9943
Std,119.7760,0.0064,0.0062,0.0195,0.0098,0.0387,0.0228,0.0355,0.0183,0.0129,0.0051
